sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.5000;lycaenid, lycaenid butterfly;0.0979;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0489;vine snake;0.0480;barn spider, Araneus cavaticus;0.0356;fig;0.0333;lycaenid, lycaenid butterfly;0.0979;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0489;vine snake;0.0480;barn spider, Araneus cavaticus;0.0356;fig;0.0333;lycaenid, lycaenid butterfly;0.0979;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0489;vine snake;0.0480;barn spider, Araneus cavaticus;0.0356;fig;0.0333;lycaenid, lycaenid butterfly;0.0979;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0489;vine snake;0.0480;barn spider, Araneus cavaticus;0.0356;fig;0.0333;lycaenid, lycaenid butterfly;0.0979;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0489;vine snake;0.0480;barn spider, Araneus cavaticus;0.0356;fig;0.0333;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;vine snake;0.0562;jacamar;0.0312;lycaenid, lycaenid butterfly;0.0300;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0192;barn spider, Araneus cavaticus;0.0184;vine snake;0.0570;jacamar;0.0318;lycaenid, lycaenid butterfly;0.0304;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0194;barn spider, Araneus cavaticus;0.0186;vine snake;0.0570;jacamar;0.0318;lycaenid, lycaenid butterfly;0.0304;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0194;barn spider, Araneus cavaticus;0.0186;vine snake;0.0579;jacamar;0.0311;lycaenid, lycaenid butterfly;0.0308;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0203;barn spider, Araneus cavaticus;0.0193;vine snake;0.0573;jacamar;0.0320;lycaenid, lycaenid butterfly;0.0300;yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;0.0192;lacewing, lacewing fly;0.0184;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;hourglass;0.0904;hair spray;0.0449;Windsor tie;0.0359;nematode, nematode worm, roundworm;0.0324;barn spider, Araneus cavaticus;0.0317;hourglass;0.0904;hair spray;0.0449;Windsor tie;0.0359;nematode, nematode worm, roundworm;0.0324;barn spider, Araneus cavaticus;0.0317;hourglass;0.0904;hair spray;0.0449;Windsor tie;0.0359;nematode, nematode worm, roundworm;0.0324;barn spider, Araneus cavaticus;0.0317;hourglass;0.0904;hair spray;0.0449;Windsor tie;0.0359;nematode, nematode worm, roundworm;0.0324;barn spider, Araneus cavaticus;0.0317;hourglass;0.0904;hair spray;0.0449;Windsor tie;0.0359;nematode, nematode worm, roundworm;0.0324;barn spider, Araneus cavaticus;0.0317;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;fox squirrel, eastern fox squirrel, Sciurus niger;0.0211;vine snake;0.0166;sloth bear, Melursus ursinus, Ursus ursinus;0.0162;limpkin, Aramus pictus;0.0162;dugong, Dugong dugon;0.0149;fox squirrel, eastern fox squirrel, Sciurus niger;0.0212;vine snake;0.0166;sloth bear, Melursus ursinus, Ursus ursinus;0.0163;limpkin, Aramus pictus;0.0162;dugong, Dugong dugon;0.0151;fox squirrel, eastern fox squirrel, Sciurus niger;0.0212;vine snake;0.0166;sloth bear, Melursus ursinus, Ursus ursinus;0.0163;limpkin, Aramus pictus;0.0162;dugong, Dugong dugon;0.0151;fox squirrel, eastern fox squirrel, Sciurus niger;0.0212;vine snake;0.0166;sloth bear, Melursus ursinus, Ursus ursinus;0.0163;limpkin, Aramus pictus;0.0162;dugong, Dugong dugon;0.0151;fox squirrel, eastern fox squirrel, Sciurus niger;0.0212;vine snake;0.0166;sloth bear, Melursus ursinus, Ursus ursinus;0.0163;limpkin, Aramus pictus;0.0162;dugong, Dugong dugon;0.0151;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;hartebeest;0.0758;rapeseed;0.0588;black grouse;0.0222;African elephant, Loxodonta africana;0.0172;gazelle;0.0144;hartebeest;0.0758;rapeseed;0.0588;black grouse;0.0222;African elephant, Loxodonta africana;0.0172;gazelle;0.0144;hartebeest;0.0758;rapeseed;0.0588;black grouse;0.0222;African elephant, Loxodonta africana;0.0172;gazelle;0.0144;hartebeest;0.0758;rapeseed;0.0588;black grouse;0.0222;African elephant, Loxodonta africana;0.0172;gazelle;0.0144;hartebeest;0.0758;rapeseed;0.0588;black grouse;0.0222;African elephant, Loxodonta africana;0.0172;gazelle;0.0144;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;3;224;221
1;0.5000;dugong, Dugong dugon;0.0495;rock beauty, Holocanthus tricolor;0.0233;matchstick;0.0192;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.0178;space shuttle;0.0178;dugong, Dugong dugon;0.0495;rock beauty, Holocanthus tricolor;0.0233;matchstick;0.0192;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.0178;space shuttle;0.0178;dugong, Dugong dugon;0.0495;rock beauty, Holocanthus tricolor;0.0233;matchstick;0.0192;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.0178;space shuttle;0.0178;dugong, Dugong dugon;0.0495;rock beauty, Holocanthus tricolor;0.0233;matchstick;0.0192;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.0178;space shuttle;0.0178;dugong, Dugong dugon;0.0495;rock beauty, Holocanthus tricolor;0.0233;matchstick;0.0192;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.0178;space shuttle;0.0178;0;0;224;224;0;0;224;224;4;2;219;221;3;1;220;223;49;3;172;220
1;0.5000;matchstick;0.2567;hourglass;0.0519;spotlight, spot;0.0394;lighter, light, igniter, ignitor;0.0366;candle, taper, wax light;0.0299;matchstick;0.2567;hourglass;0.0519;spotlight, spot;0.0394;lighter, light, igniter, ignitor;0.0366;candle, taper, wax light;0.0299;matchstick;0.2567;hourglass;0.0519;spotlight, spot;0.0394;lighter, light, igniter, ignitor;0.0366;candle, taper, wax light;0.0299;matchstick;0.2567;hourglass;0.0519;spotlight, spot;0.0394;lighter, light, igniter, ignitor;0.0366;candle, taper, wax light;0.0299;matchstick;0.2567;hourglass;0.0519;spotlight, spot;0.0394;lighter, light, igniter, ignitor;0.0366;candle, taper, wax light;0.0299;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;cleaver, meat cleaver, chopper;0.0259;parachute, chute;0.0257;screw;0.0255;tick;0.0237;black stork, Ciconia nigra;0.0182;cleaver, meat cleaver, chopper;0.0259;parachute, chute;0.0257;screw;0.0255;tick;0.0237;black stork, Ciconia nigra;0.0182;cleaver, meat cleaver, chopper;0.0259;parachute, chute;0.0257;screw;0.0255;tick;0.0237;black stork, Ciconia nigra;0.0182;cleaver, meat cleaver, chopper;0.0259;parachute, chute;0.0257;screw;0.0255;tick;0.0237;black stork, Ciconia nigra;0.0182;cleaver, meat cleaver, chopper;0.0259;parachute, chute;0.0257;screw;0.0255;tick;0.0237;black stork, Ciconia nigra;0.0182;0;1;220;223;1;44;217;178;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;matchstick;0.2439;drumstick;0.0640;maraca;0.0494;ping-pong ball;0.0425;hatchet;0.0313;matchstick;0.2439;drumstick;0.0640;maraca;0.0494;ping-pong ball;0.0425;hatchet;0.0313;matchstick;0.2439;drumstick;0.0640;maraca;0.0494;ping-pong ball;0.0425;hatchet;0.0313;matchstick;0.2439;drumstick;0.0640;maraca;0.0494;ping-pong ball;0.0425;hatchet;0.0313;matchstick;0.2439;drumstick;0.0640;maraca;0.0494;ping-pong ball;0.0425;hatchet;0.0313;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;cleaver, meat cleaver, chopper;0.0724;ballpoint, ballpoint pen, ballpen, Biro;0.0430;hourglass;0.0350;nipple;0.0333;spatula;0.0266;cleaver, meat cleaver, chopper;0.0724;ballpoint, ballpoint pen, ballpen, Biro;0.0430;hourglass;0.0350;nipple;0.0333;spatula;0.0266;cleaver, meat cleaver, chopper;0.0724;ballpoint, ballpoint pen, ballpen, Biro;0.0430;hourglass;0.0350;nipple;0.0333;spatula;0.0266;cleaver, meat cleaver, chopper;0.0724;ballpoint, ballpoint pen, ballpen, Biro;0.0430;hourglass;0.0350;nipple;0.0333;spatula;0.0266;cleaver, meat cleaver, chopper;0.0724;ballpoint, ballpoint pen, ballpen, Biro;0.0430;hourglass;0.0350;nipple;0.0333;spatula;0.0266;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;1;1;223;223
1;0.5000;vine snake;0.0138;barn spider, Araneus cavaticus;0.0132;jacamar;0.0113;fox squirrel, eastern fox squirrel, Sciurus niger;0.0105;limpkin, Aramus pictus;0.0102;vine snake;0.0138;barn spider, Araneus cavaticus;0.0132;jacamar;0.0113;fox squirrel, eastern fox squirrel, Sciurus niger;0.0105;limpkin, Aramus pictus;0.0102;vine snake;0.0138;barn spider, Araneus cavaticus;0.0132;jacamar;0.0113;fox squirrel, eastern fox squirrel, Sciurus niger;0.0105;limpkin, Aramus pictus;0.0102;vine snake;0.0138;barn spider, Araneus cavaticus;0.0132;jacamar;0.0113;fox squirrel, eastern fox squirrel, Sciurus niger;0.0105;limpkin, Aramus pictus;0.0102;vine snake;0.0138;barn spider, Araneus cavaticus;0.0132;jacamar;0.0113;fox squirrel, eastern fox squirrel, Sciurus niger;0.0105;limpkin, Aramus pictus;0.0102;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;Granny Smith;0.0413;fig;0.0308;acorn;0.0231;black grouse;0.0151;dugong, Dugong dugon;0.0149;Granny Smith;0.0413;fig;0.0308;acorn;0.0231;black grouse;0.0151;dugong, Dugong dugon;0.0149;Granny Smith;0.0422;fig;0.0321;acorn;0.0231;dugong, Dugong dugon;0.0151;black grouse;0.0147;Granny Smith;0.0412;fig;0.0306;acorn;0.0229;black grouse;0.0151;dugong, Dugong dugon;0.0150;Granny Smith;0.0413;fig;0.0308;acorn;0.0231;black grouse;0.0151;dugong, Dugong dugon;0.0149;2;29;222;195;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;Granny Smith;0.1464;maraca;0.0529;tennis ball;0.0425;strawberry;0.0399;lotion;0.0310;Granny Smith;0.1464;maraca;0.0529;tennis ball;0.0425;strawberry;0.0399;lotion;0.0311;Granny Smith;0.1464;maraca;0.0529;tennis ball;0.0425;strawberry;0.0399;lotion;0.0311;Granny Smith;0.1464;maraca;0.0529;tennis ball;0.0425;strawberry;0.0399;lotion;0.0311;Granny Smith;0.1464;maraca;0.0529;tennis ball;0.0425;strawberry;0.0399;lotion;0.0311;0;0;224;224;0;1;224;223;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;matchstick;0.0315;nail;0.0283;ping-pong ball;0.0274;screw;0.0264;acorn;0.0218;matchstick;0.0315;nail;0.0283;ping-pong ball;0.0274;screw;0.0264;acorn;0.0218;matchstick;0.0315;nail;0.0283;ping-pong ball;0.0274;screw;0.0264;acorn;0.0218;matchstick;0.0315;nail;0.0283;ping-pong ball;0.0274;screw;0.0264;acorn;0.0218;matchstick;0.0315;nail;0.0283;ping-pong ball;0.0274;screw;0.0264;acorn;0.0218;0;0;224;224;0;0;224;224;0;6;224;217;0;0;224;224;0;1;224;223
1;0.5000;black grouse;0.1149;prairie chicken, prairie grouse, prairie fowl;0.0179;hyena, hyaena;0.0174;African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus;0.0153;ostrich, Struthio camelus;0.0149;black grouse;0.1149;prairie chicken, prairie grouse, prairie fowl;0.0179;hyena, hyaena;0.0174;African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus;0.0153;ostrich, Struthio camelus;0.0149;black grouse;0.1149;prairie chicken, prairie grouse, prairie fowl;0.0179;hyena, hyaena;0.0174;African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus;0.0153;ostrich, Struthio camelus;0.0149;black grouse;0.1149;prairie chicken, prairie grouse, prairie fowl;0.0179;hyena, hyaena;0.0174;African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus;0.0153;ostrich, Struthio camelus;0.0149;black grouse;0.1149;prairie chicken, prairie grouse, prairie fowl;0.0179;hyena, hyaena;0.0174;African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus;0.0153;ostrich, Struthio camelus;0.0149;0;0;224;224;3;1;220;219;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;whiskey jug;0.0487;hair spray;0.0387;eggnog;0.0296;sunscreen, sunblock, sun blocker;0.0295;hourglass;0.0251;whiskey jug;0.0487;hair spray;0.0387;eggnog;0.0296;sunscreen, sunblock, sun blocker;0.0295;hourglass;0.0251;whiskey jug;0.0487;hair spray;0.0387;eggnog;0.0296;sunscreen, sunblock, sun blocker;0.0295;hourglass;0.0251;whiskey jug;0.0487;hair spray;0.0387;eggnog;0.0296;sunscreen, sunblock, sun blocker;0.0295;hourglass;0.0251;whiskey jug;0.0487;hair spray;0.0387;eggnog;0.0296;sunscreen, sunblock, sun blocker;0.0295;hourglass;0.0251;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;vine snake;0.0850;barn spider, Araneus cavaticus;0.0245;green mamba;0.0221;nematode, nematode worm, roundworm;0.0190;marmoset;0.0152;vine snake;0.0850;barn spider, Araneus cavaticus;0.0245;green mamba;0.0221;nematode, nematode worm, roundworm;0.0190;marmoset;0.0152;vine snake;0.0850;barn spider, Araneus cavaticus;0.0245;green mamba;0.0221;nematode, nematode worm, roundworm;0.0190;marmoset;0.0152;vine snake;0.0850;barn spider, Araneus cavaticus;0.0245;green mamba;0.0221;nematode, nematode worm, roundworm;0.0190;marmoset;0.0152;vine snake;0.0847;barn spider, Araneus cavaticus;0.0246;green mamba;0.0218;nematode, nematode worm, roundworm;0.0194;marmoset;0.0151;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;croquet ball;0.0826;matchstick;0.0407;English foxhound;0.0263;milk can;0.0234;maraca;0.0230;croquet ball;0.0826;matchstick;0.0407;English foxhound;0.0263;milk can;0.0234;maraca;0.0230;croquet ball;0.0826;matchstick;0.0407;English foxhound;0.0263;milk can;0.0234;maraca;0.0230;croquet ball;0.0826;matchstick;0.0407;English foxhound;0.0263;milk can;0.0234;maraca;0.0230;croquet ball;0.0826;matchstick;0.0407;English foxhound;0.0263;milk can;0.0234;maraca;0.0230;0;0;224;224;8;2;215;221;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;matchstick;0.0303;nematode, nematode worm, roundworm;0.0275;goldfish, Carassius auratus;0.0240;digital clock;0.0235;lighter, light, igniter, ignitor;0.0174;matchstick;0.0303;nematode, nematode worm, roundworm;0.0275;goldfish, Carassius auratus;0.0240;digital clock;0.0235;lighter, light, igniter, ignitor;0.0174;matchstick;0.0303;nematode, nematode worm, roundworm;0.0275;goldfish, Carassius auratus;0.0240;digital clock;0.0235;lighter, light, igniter, ignitor;0.0174;matchstick;0.0303;nematode, nematode worm, roundworm;0.0275;goldfish, Carassius auratus;0.0240;digital clock;0.0235;lighter, light, igniter, ignitor;0.0174;matchstick;0.0303;nematode, nematode worm, roundworm;0.0275;goldfish, Carassius auratus;0.0240;digital clock;0.0235;lighter, light, igniter, ignitor;0.0174;0;0;224;224;0;0;224;224;0;0;224;224;4;0;220;224;0;0;224;224
1;0.5000;lipstick, lip rouge;0.0811;hair spray;0.0397;goldfish, Carassius auratus;0.0307;punching bag, punch bag, punching ball, punchball;0.0271;lighter, light, igniter, ignitor;0.0235;lipstick, lip rouge;0.0811;hair spray;0.0397;goldfish, Carassius auratus;0.0307;punching bag, punch bag, punching ball, punchball;0.0271;lighter, light, igniter, ignitor;0.0235;lipstick, lip rouge;0.0811;hair spray;0.0397;goldfish, Carassius auratus;0.0307;punching bag, punch bag, punching ball, punchball;0.0271;lighter, light, igniter, ignitor;0.0235;lipstick, lip rouge;0.0794;goldfish, Carassius auratus;0.0383;hair spray;0.0363;lighter, light, igniter, ignitor;0.0243;ping-pong ball;0.0241;lipstick, lip rouge;0.0811;hair spray;0.0397;goldfish, Carassius auratus;0.0307;punching bag, punch bag, punching ball, punchball;0.0271;lighter, light, igniter, ignitor;0.0235;1;1;217;223;3;0;205;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;nematode, nematode worm, roundworm;0.2091;barn spider, Araneus cavaticus;0.0588;vine snake;0.0360;rock beauty, Holocanthus tricolor;0.0199;digital clock;0.0193;nematode, nematode worm, roundworm;0.2091;barn spider, Araneus cavaticus;0.0588;vine snake;0.0360;rock beauty, Holocanthus tricolor;0.0199;digital clock;0.0193;nematode, nematode worm, roundworm;0.2091;barn spider, Araneus cavaticus;0.0588;vine snake;0.0360;rock beauty, Holocanthus tricolor;0.0199;digital clock;0.0193;nematode, nematode worm, roundworm;0.2091;barn spider, Araneus cavaticus;0.0588;vine snake;0.0360;rock beauty, Holocanthus tricolor;0.0199;digital clock;0.0193;nematode, nematode worm, roundworm;0.2091;barn spider, Araneus cavaticus;0.0588;vine snake;0.0360;rock beauty, Holocanthus tricolor;0.0199;digital clock;0.0193;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;punching bag, punch bag, punching ball, punchball;0.0482;whiskey jug;0.0365;tick;0.0344;maraca;0.0272;ping-pong ball;0.0253;punching bag, punch bag, punching ball, punchball;0.0482;whiskey jug;0.0365;tick;0.0344;maraca;0.0272;ping-pong ball;0.0253;punching bag, punch bag, punching ball, punchball;0.0482;whiskey jug;0.0365;tick;0.0344;maraca;0.0272;ping-pong ball;0.0253;punching bag, punch bag, punching ball, punchball;0.0482;whiskey jug;0.0365;tick;0.0344;maraca;0.0272;ping-pong ball;0.0253;punching bag, punch bag, punching ball, punchball;0.0556;whiskey jug;0.0343;maraca;0.0305;ping-pong ball;0.0285;tick;0.0272;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
