sigma;thres;class1;score1;x1;y1;w1;h1;class2;score2;x2;y2;w2;h2;class3;score3;x3;y3;w3;h3;class4;score4;x4;y4;w4;h4;class5;score5;x5;y5;w5;h5
1;0.5000;pencil sharpener;0.5328;0;0;227;227;switch, electric switch, electrical switch;0.2482;0;0;227;227;cassette player;0.0255;0;0;227;227;digital clock;0.0171;0;0;227;227;remote control, remote;0.0134;0;0;227;227
1;0.5000;nematode, nematode worm, roundworm;0.2199;0;0;227;227;tick;0.2166;0;0;227;227;ant, emmet, pismire;0.0999;4;1;220;225;barn spider, Araneus cavaticus;0.0500;0;0;227;227;knot;0.0458;47;2;140;152
1;0.5000;fox squirrel, eastern fox squirrel, Sciurus niger;0.2026;0;0;227;227;three-toed sloth, ai, Bradypus tridactylus;0.1820;0;0;227;227;marmoset;0.1360;0;0;227;227;junco, snowbird;0.0948;0;0;227;227;wood rabbit, cottontail, cottontail rabbit;0.0610;0;0;227;227
1;0.5000;assault rifle, assault gun;0.2051;4;43;204;172;chain saw, chainsaw;0.0733;0;2;227;225;bulletproof vest;0.0503;3;6;224;219;ballplayer, baseball player;0.0229;0;31;227;196;chain;0.0149;0;0;227;227
1;0.5000;Granny Smith;0.6003;0;0;227;227;bell pepper;0.3955;0;0;227;227;cucumber, cuke;0.0012;0;0;227;227;fig;0.0009;0;0;227;227;acorn;0.0003;0;0;227;227
1;0.5000;planetarium;0.9783;0;0;227;227;dome;0.0075;0;0;227;227;crash helmet;0.0061;60;27;85;149;mosque;0.0031;0;0;227;227;football helmet;0.0007;1;1;226;226
1;0.5000;black grouse;0.3678;11;16;188;158;prairie chicken, prairie grouse, prairie fowl;0.2205;0;0;227;227;cheetah, chetah, Acinonyx jubatus;0.0776;47;50;180;176;ruffed grouse, partridge, Bonasa umbellus;0.0591;61;61;115;47;hyena, hyaena;0.0382;0;0;227;227
1;0.5000;table lamp;0.8582;0;0;227;227;birdhouse;0.0195;0;0;227;227;lampshade, lamp shade;0.0179;0;0;227;227;stove;0.0178;0;0;227;227;joystick;0.0146;0;0;227;227
1;0.5000;Arctic fox, white fox, Alopex lagopus;0.2893;0;3;227;224;ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus;0.2661;0;0;227;227;white wolf, Arctic wolf, Canis lupus tundrarum;0.1948;50;72;136;125;timber wolf, grey wolf, gray wolf, Canis lupus;0.1056;0;0;227;227;Great Pyrenees;0.0106;3;8;185;189
1;0.5000;English foxhound;0.4740;11;25;215;198;Walker hound, Walker foxhound;0.4452;0;0;227;227;beagle;0.0694;0;0;227;227;EntleBucher;0.0025;1;0;226;227;Cardigan, Cardigan Welsh corgi;0.0022;0;0;227;227
1;0.5000;pick, plectrum, plectron;0.2783;0;0;227;227;vine snake;0.1751;0;0;227;227;green mamba;0.1384;0;0;227;227;zucchini, courgette;0.0899;0;0;227;227;cucumber, cuke;0.0669;0;0;227;227
1;0.5000;pill bottle;0.2707;0;0;227;227;mailbox, letter box;0.0675;0;0;227;227;space heater;0.0380;0;1;227;226;birdhouse;0.0265;0;0;227;227;pedestal, plinth, footstall;0.0263;0;0;227;227
1;0.5000;cabbage butterfly;0.9287;0;0;227;227;daisy;0.0234;3;0;221;206;ant, emmet, pismire;0.0195;3;0;223;226;sulphur butterfly, sulfur butterfly;0.0059;0;0;227;226;bee;0.0045;7;3;212;219
1;0.5000;go-kart;0.3198;0;0;227;227;motor scooter, scooter;0.2025;0;0;227;227;snowmobile;0.1619;0;0;227;227;amphibian, amphibious vehicle;0.0641;0;0;227;227;speedboat;0.0512;0;0;227;227
1;0.5000;weasel;0.1939;0;0;227;227;otter;0.1895;0;0;227;227;mink;0.1625;0;0;227;227;polecat, fitch, foulmart, foumart, Mustela putorius;0.1052;0;0;227;227;black-footed ferret, ferret, Mustela nigripes;0.0665;0;0;227;227
1;0.5000;screen, CRT screen;0.1597;0;0;227;227;loupe, jeweler's loupe;0.0999;50;69;70;83;fire screen, fireguard;0.0764;0;0;227;227;cleaver, meat cleaver, chopper;0.0566;0;0;227;227;chain saw, chainsaw;0.0430;0;0;227;227
1;0.5000;half track;0.9912;1;48;216;168;tank, army tank, armored combat vehicle, armoured combat vehicle;0.0059;30;11;176;190;amphibian, amphibious vehicle;0.0022;34;11;175;197;thresher, thrasher, threshing machine;0.0001;0;0;227;227;steam locomotive;0.0001;5;8;214;217
1;0.5000;nipple;0.1506;22;2;196;224;patas, hussar monkey, Erythrocebus patas;0.0700;58;23;169;204;hair spray;0.0533;10;1;207;219;pickelhaube;0.0458;2;3;224;223;proboscis monkey, Nasalis larvatus;0.0402;0;0;227;227
1;0.5000;ant, emmet, pismire;0.2699;0;0;227;227;barn spider, Araneus cavaticus;0.1119;0;0;227;227;ground beetle, carabid beetle;0.0807;0;0;227;227;dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk;0.0766;0;0;227;227;damselfly;0.0547;0;0;227;227
1;0.5000;abacus;0.9158;0;0;227;227;accordion, piano accordion, squeeze box;0.0209;0;0;227;227;panpipe, pandean pipe, syrinx;0.0057;0;0;227;227;plate rack;0.0052;0;0;227;227;ear, spike, capitulum;0.0042;0;0;227;227
1;0.5000;velvet;0.3288;0;0;227;227;mailbag, postbag;0.0614;0;0;227;227;studio couch, day bed;0.0279;28;7;198;209;wallet, billfold, notecase, pocketbook;0.0275;29;51;151;173;breastplate, aegis, egis;0.0191;0;0;227;227
1;0.5000;tick;0.6759;30;4;186;197;ant, emmet, pismire;0.1232;0;0;227;227;barn spider, Araneus cavaticus;0.0546;0;0;227;227;snail;0.0355;0;0;227;227;electric ray, crampfish, numbfish, torpedo;0.0169;0;0;227;227
1;0.5000;neck brace;0.2545;63;68;132;36;toilet tissue, toilet paper, bathroom tissue;0.1269;0;0;227;227;nipple;0.1262;0;0;227;227;paper towel;0.0887;0;0;227;227;diaper, nappy, napkin;0.0273;0;0;227;227
1;0.5000;window shade;0.4658;0;0;227;227;radiator;0.2427;0;0;227;227;oil filter;0.1202;0;0;227;227;space heater;0.0539;0;0;227;227;modem;0.0110;0;0;227;227
1;0.5000;black stork, Ciconia nigra;0.4900;4;7;215;220;spoonbill;0.3129;29;8;195;216;crane;0.1434;69;75;155;147;limpkin, Aramus pictus;0.0205;65;72;159;152;hummingbird;0.0076;0;0;227;227
1;0.5000;miniature schnauzer;0.7243;0;0;227;227;standard schnauzer;0.0626;0;0;227;227;wire-haired fox terrier;0.0556;0;0;227;227;Norfolk terrier;0.0267;0;0;227;227;Norwich terrier;0.0192;0;0;227;227
1;0.5000;Leonberg;0.1713;62;63;125;138;bull mastiff;0.1649;76;47;109;141;Brabancon griffon;0.0733;64;1;125;214;bloodhound, sleuthhound;0.0632;65;56;1;3;flat-coated retriever;0.0433;0;0;227;227
1;0.5000;joystick;0.2677;0;0;227;227;iron, smoothing iron;0.2211;0;0;227;227;pencil sharpener;0.0518;0;0;227;227;switch, electric switch, electrical switch;0.0498;0;0;227;227;soap dispenser;0.0494;0;0;227;227
1;0.5000;freight car;0.3575;20;27;207;190;theater curtain, theatre curtain;0.3003;1;0;224;149;tobacco shop, tobacconist shop, tobacconist;0.1185;2;0;217;166;prayer rug, prayer mat;0.0618;0;0;227;227;cinema, movie theater, movie theatre, movie house, picture palace;0.0228;0;0;227;227
1;0.5000;English foxhound;0.3778;0;0;227;227;beagle;0.2009;0;0;227;227;Walker hound, Walker foxhound;0.1208;0;0;227;227;redbone;0.1113;2;0;225;227;Brittany spaniel;0.0260;0;0;227;227
1;0.5000;screen, CRT screen;0.4464;21;28;186;172;television, television system;0.2758;0;0;227;227;cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM;0.1511;0;0;227;227;monitor;0.0227;0;0;227;227;school bus;0.0217;0;0;227;227
1;0.5000;Windsor tie;0.7478;0;0;227;227;Loafer;0.0170;2;0;225;227;spatula;0.0118;38;31;189;196;polecat, fitch, foulmart, foumart, Mustela putorius;0.0115;0;0;227;227;radiator;0.0113;0;0;227;227
1;0.5000;jacamar;0.1349;24;18;202;203;common newt, Triturus vulgaris;0.0765;0;0;227;227;snail;0.0743;0;0;227;227;slug;0.0684;0;0;227;227;hummingbird;0.0575;0;0;227;227
1;0.5000;axolotl, mud puppy, Ambystoma mexicanum;1.0000;0;0;227;227;sea slug, nudibranch;0.0000;0;0;227;227;goldfish, Carassius auratus;0.0000;0;0;227;227;snail;0.0000;0;0;227;227;slug;0.0000;0;0;227;227
1;0.5000;switch, electric switch, electrical switch;0.9103;26;58;192;163;digital clock;0.0814;0;0;227;227;digital watch;0.0018;51;68;2;1;Band Aid;0.0013;0;0;227;227;combination lock;0.0011;0;0;227;227
1;0.5000;handkerchief, hankie, hanky, hankey;0.6860;0;0;227;227;plate;0.0263;0;0;227;227;strawberry;0.0211;50;68;2;2;envelope;0.0191;0;0;227;227;bib;0.0159;50;68;2;2
1;0.5000;nipple;0.4429;0;2;222;222;earthstar;0.0948;0;0;227;227;toy terrier;0.0464;0;0;227;227;oxygen mask;0.0302;0;0;227;227;polecat, fitch, foulmart, foumart, Mustela putorius;0.0272;0;0;227;227
1;0.5000;cab, hack, taxi, taxicab;0.7693;0;0;227;227;school bus;0.2058;51;75;2;3;moving van;0.0038;0;0;227;227;racer, race car, racing car;0.0037;48;75;4;4;sports car, sport car;0.0037;0;0;227;227
1;0.5000;Pomeranian;0.1900;0;0;227;227;Japanese spaniel;0.1336;0;0;227;227;Chihuahua;0.1141;0;0;227;227;Pekinese, Pekingese, Peke;0.0991;6;0;212;164;keeshond;0.0683;0;0;227;227
1;0.5000;stinkhorn, carrion fungus;0.5424;0;0;227;227;gyromitra;0.1024;0;0;227;227;weasel;0.0760;0;0;227;227;bolete;0.0483;0;0;227;227;earthstar;0.0361;0;0;227;227
1;0.5000;parallel bars, bars;0.1183;0;0;227;227;fire screen, fireguard;0.1122;28;52;167;173;tripod;0.0862;3;67;223;160;theater curtain, theatre curtain;0.0390;3;1;224;226;bannister, banister, balustrade, balusters, handrail;0.0263;0;0;227;227
1;0.5000;switch, electric switch, electrical switch;0.2049;44;18;115;190;lighter, light, igniter, ignitor;0.1400;0;0;227;227;knee pad;0.0805;0;0;227;227;whistle;0.0716;0;0;227;227;pencil sharpener;0.0610;0;0;227;227
1;0.5000;sweatshirt;0.4529;0;0;227;227;poncho;0.4199;3;1;224;224;bulletproof vest;0.0318;42;39;152;145;cloak;0.0207;52;39;146;154;chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour;0.0134;36;5;191;222
1;0.5000;flat-coated retriever;0.3730;0;0;227;227;Gordon setter;0.1598;51;76;1;2;curly-coated retriever;0.1027;0;0;227;227;groenendael;0.0821;51;76;2;2;affenpinscher, monkey pinscher, monkey dog;0.0454;9;3;218;223
1;0.5000;jellyfish;0.9303;0;0;227;227;electric ray, crampfish, numbfish, torpedo;0.0222;0;0;227;227;nematode, nematode worm, roundworm;0.0150;0;0;227;227;volcano;0.0048;0;0;227;227;lampshade, lamp shade;0.0048;0;0;227;227
1;0.5000;green lizard, Lacerta viridis;0.2034;0;0;227;227;American chameleon, anole, Anolis carolinensis;0.1687;0;0;227;227;axolotl, mud puppy, Ambystoma mexicanum;0.1338;0;0;227;227;common newt, Triturus vulgaris;0.1316;1;0;226;227;banded gecko;0.0754;2;0;225;227
1;0.5000;redbone;0.1029;0;0;227;227;lakeside, lakeshore;0.0556;0;1;227;226;sea lion;0.0520;0;0;227;227;container ship, containership, container vessel;0.0373;0;0;227;227;Chesapeake Bay retriever;0.0281;0;0;227;227
1;0.5000;rock beauty, Holocanthus tricolor;0.9818;7;6;202;194;eel;0.0099;0;0;227;227;puffer, pufferfish, blowfish, globefish;0.0080;0;0;227;227;green mamba;0.0001;0;0;227;227;coral reef;0.0000;0;0;227;227
1;0.5000;tusker;0.7812;0;0;227;227;Indian elephant, Elephas maximus;0.1321;54;50;171;168;African elephant, Loxodonta africana;0.0747;66;62;1;3;dugong, Dugong dugon;0.0056;30;29;2;2;Weimaraner;0.0021;9;0;218;226
1;0.5000;spatula;0.0900;0;0;227;227;dough;0.0608;0;0;227;227;French loaf;0.0356;0;0;227;227;honeycomb;0.0327;0;0;227;227;Petri dish;0.0308;0;0;227;227
1;0.5000;pill bottle;0.6607;0;0;227;227;nipple;0.1055;0;0;227;227;safety pin;0.0475;51;64;173;161;maraca;0.0342;0;0;227;227;whistle;0.0252;0;0;227;227
1;0.5000;ice lolly, lolly, lollipop, popsicle;0.5885;9;2;218;225;whistle;0.1530;0;0;227;227;sunscreen, sunblock, sun blocker;0.0537;76;51;1;2;spatula;0.0230;0;0;227;227;nipple;0.0208;0;0;227;227
1;0.5000;school bus;0.1133;0;0;227;227;rock beauty, Holocanthus tricolor;0.0642;0;0;227;227;cab, hack, taxi, taxicab;0.0598;0;0;227;227;pick, plectrum, plectron;0.0527;0;0;227;227;sweatshirt;0.0486;50;68;2;2
1;0.5000;dugong, Dugong dugon;0.5302;6;53;177;102;tiger shark, Galeocerdo cuvieri;0.1758;1;2;223;224;great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;0.1263;0;0;227;227;killer whale, killer, orca, grampus, sea wolf, Orcinus orca;0.0555;2;1;225;226;electric ray, crampfish, numbfish, torpedo;0.0183;0;0;227;227
1;0.5000;space shuttle;0.2981;0;0;227;227;screw;0.2346;0;0;227;227;warplane, military plane;0.1535;0;0;227;227;airliner;0.1094;0;0;227;227;kite;0.0880;0;0;227;227
1;0.5000;toyshop;0.1013;7;4;217;221;comic book;0.0925;0;0;227;227;chain saw, chainsaw;0.0846;0;0;227;227;carousel, carrousel, merry-go-round, roundabout, whirligig;0.0784;0;0;227;227;power drill;0.0778;0;0;227;227
1;0.5000;black grouse;0.9975;0;0;227;227;prairie chicken, prairie grouse, prairie fowl;0.0009;0;0;227;227;partridge;0.0005;3;0;224;227;ruffed grouse, partridge, Bonasa umbellus;0.0004;33;0;194;227;ptarmigan;0.0002;50;83;3;2
1;0.5000;bannister, banister, balustrade, balusters, handrail;0.1041;0;0;227;218;chainlink fence;0.0386;0;0;227;227;parking meter;0.0378;0;0;227;227;car mirror;0.0288;0;0;227;227;mailbox, letter box;0.0273;50;67;2;2
1;0.5000;dhole, Cuon alpinus;0.4478;40;16;178;174;redbone;0.2449;3;0;224;227;Brabancon griffon;0.1043;0;0;227;227;patas, hussar monkey, Erythrocebus patas;0.0499;0;0;227;227;dingo, warrigal, warragal, Canis dingo;0.0269;0;0;227;227
1;0.5000;African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus;0.4161;1;0;226;227;titi, titi monkey;0.0624;0;0;227;227;sloth bear, Melursus ursinus, Ursus ursinus;0.0484;0;0;227;227;marmoset;0.0461;51;71;1;1;barn spider, Araneus cavaticus;0.0402;0;0;227;227
1;0.5000;Norfolk terrier;0.2705;0;0;227;227;otterhound, otter hound;0.2122;0;0;227;227;Norwich terrier;0.1265;0;0;227;227;Irish terrier;0.1081;0;0;227;227;briard;0.0498;0;0;227;227
1;0.5000;caldron, cauldron;0.3886;0;0;227;227;mortar;0.2250;0;0;227;227;wok;0.1320;0;0;227;227;frying pan, frypan, skillet;0.1093;76;24;139;199;soup bowl;0.0230;3;3;212;220
1;0.5000;valley, vale;0.2914;0;15;227;211;alp;0.1820;8;104;219;107;lakeside, lakeshore;0.1057;5;69;222;151;stone wall;0.0594;0;0;227;227;volcano;0.0536;0;0;227;227
1;0.5000;Afghan hound, Afghan;0.6567;0;0;227;227;briard;0.2335;0;0;227;227;Irish water spaniel;0.0246;0;0;227;227;Sussex spaniel;0.0142;0;0;227;227;Newfoundland, Newfoundland dog;0.0117;0;2;227;225
1;0.5000;chain saw, chainsaw;0.0398;2;58;202;159;toyshop;0.0397;0;0;227;227;dogsled, dog sled, dog sleigh;0.0248;0;0;227;227;drilling platform, offshore rig;0.0228;0;0;227;227;chain;0.0222;0;0;227;227
1;0.5000;ant, emmet, pismire;0.1127;7;5;217;222;common newt, Triturus vulgaris;0.1008;0;0;227;227;wolf spider, hunting spider;0.0801;0;0;227;227;spider web, spider's web;0.0663;0;0;227;227;barn spider, Araneus cavaticus;0.0544;0;0;227;227
1;0.5000;can opener, tin opener;0.2873;0;0;227;227;hair slide;0.1351;0;95;222;126;whistle;0.0782;0;0;227;227;cleaver, meat cleaver, chopper;0.0770;0;2;225;219;loupe, jeweler's loupe;0.0667;0;0;227;227
1;0.5000;cinema, movie theater, movie theatre, movie house, picture palace;0.1868;0;0;227;227;whistle;0.0698;0;0;227;227;restaurant, eating house, eating place, eatery;0.0500;0;0;227;227;slot, one-armed bandit;0.0480;0;0;227;227;pool table, billiard table, snooker table;0.0379;0;0;227;227
1;0.5000;spotlight, spot;0.2180;0;0;227;227;velvet;0.1336;3;0;224;227;nematode, nematode worm, roundworm;0.0855;7;7;219;217;digital clock;0.0380;0;0;227;227;Granny Smith;0.0369;0;0;227;227
1;0.5000;barn spider, Araneus cavaticus;0.2082;15;39;200;188;grey fox, gray fox, Urocyon cinereoargenteus;0.1187;0;0;227;227;isopod;0.1123;0;0;227;227;fox squirrel, eastern fox squirrel, Sciurus niger;0.0630;0;0;227;227;chiton, coat-of-mail shell, sea cradle, polyplacophore;0.0256;0;0;227;227
1;0.5000;knee pad;0.3538;8;7;219;210;mouse, computer mouse;0.0691;56;58;2;3;cellular telephone, cellular phone, cellphone, cell, mobile phone;0.0677;0;0;227;227;hand-held computer, hand-held microcomputer;0.0457;55;57;139;126;digital watch;0.0390;2;0;225;227
1;0.5000;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.1240;0;0;227;227;spider monkey, Ateles geoffroyi;0.0610;47;64;82;48;titi, titi monkey;0.0582;40;51;2;2;barn spider, Araneus cavaticus;0.0493;67;60;72;71;vine snake;0.0384;0;0;227;227
1;0.5000;black-footed ferret, ferret, Mustela nigripes;0.4246;0;0;227;227;weasel;0.1913;0;1;227;226;meerkat, mierkat;0.0727;0;0;227;227;polecat, fitch, foulmart, foumart, Mustela putorius;0.0453;0;0;227;227;squirrel monkey, Saimiri sciureus;0.0371;0;0;227;227
1;0.5000;indri, indris, Indri indri, Indri brevicaudatus;0.1852;0;0;227;227;Madagascar cat, ring-tailed lemur, Lemur catta;0.1463;0;0;227;227;spider monkey, Ateles geoffroyi;0.1153;0;0;227;227;guenon, guenon monkey;0.1071;0;0;227;227;titi, titi monkey;0.1001;0;0;227;227
1;0.5000;colobus, colobus monkey;0.1916;0;0;227;227;patas, hussar monkey, Erythrocebus patas;0.1046;0;0;227;227;spider monkey, Ateles geoffroyi;0.1026;0;0;227;227;guenon, guenon monkey;0.0822;0;0;227;227;orangutan, orang, orangutang, Pongo pygmaeus;0.0758;0;0;227;227
1;0.5000;yawl;0.9374;0;0;227;227;schooner;0.0409;0;0;227;227;trimaran;0.0150;2;36;225;190;catamaran;0.0040;0;0;227;227;pirate, pirate ship;0.0006;0;2;227;225
1;0.5000;patas, hussar monkey, Erythrocebus patas;0.2238;0;0;227;227;macaque;0.1615;0;0;227;227;Chihuahua;0.0902;0;0;227;227;langur;0.0709;0;0;227;227;proboscis monkey, Nasalis larvatus;0.0702;0;0;227;227
1;0.5000;passenger car, coach, carriage;0.1450;0;0;227;227;moving van;0.1365;0;3;227;214;digital clock;0.1174;0;0;227;227;minibus;0.1012;0;0;227;212;limousine, limo;0.0602;0;0;227;227
1;0.5000;wood rabbit, cottontail, cottontail rabbit;0.2502;44;76;127;89;dhole, Cuon alpinus;0.1621;0;0;227;227;orangutan, orang, orangutang, Pongo pygmaeus;0.1014;0;0;227;227;Sussex spaniel;0.0954;0;0;227;227;fox squirrel, eastern fox squirrel, Sciurus niger;0.0552;0;0;227;227
1;0.5000;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.9192;0;0;227;227;isopod;0.0238;3;1;224;226;bittern;0.0101;0;0;227;227;limpkin, Aramus pictus;0.0053;0;0;227;227;dugong, Dugong dugon;0.0037;0;0;227;227
1;0.5000;strawberry;0.6574;0;0;227;227;bell pepper;0.1210;0;0;227;227;hip, rose hip, rosehip;0.0565;0;0;227;227;Granny Smith;0.0326;0;0;227;227;fig;0.0271;0;0;227;227
1;0.5000;wood rabbit, cottontail, cottontail rabbit;0.2028;0;0;227;227;fox squirrel, eastern fox squirrel, Sciurus niger;0.0360;0;25;227;200;cheetah, chetah, Acinonyx jubatus;0.0347;0;0;227;227;hare;0.0336;0;0;227;227;coyote, prairie wolf, brush wolf, Canis latrans;0.0327;0;0;227;227
1;0.6000;nematode, nematode worm, roundworm;0.2328;69;61;133;119;sidewinder, horned rattlesnake, Crotalus cerastes;0.1117;0;0;227;227;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.1037;2;3;224;219;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0536;0;0;227;227;sea snake;0.0403;0;0;227;227
1;0.6000;assault rifle, assault gun;0.0960;8;37;217;140;alp;0.0883;45;65;9;9;tripod;0.0665;3;0;224;227;nail;0.0399;0;0;227;227;coyote, prairie wolf, brush wolf, Canis latrans;0.0339;0;0;227;227
1;0.6000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8197;5;10;164;156;collie;0.1473;56;125;122;46;papillon;0.0101;38;69;180;156;Pembroke, Pembroke Welsh corgi;0.0036;40;59;138;137;Cardigan, Cardigan Welsh corgi;0.0033;12;59;212;166
1;0.6000;consomme;0.6035;11;3;210;182;eggnog;0.1453;57;56;42;88;cup;0.0908;2;0;223;227;soup bowl;0.0849;0;0;227;227;espresso;0.0212;0;0;227;227
1;0.6000;hourglass;0.2147;19;0;200;227;pick, plectrum, plectron;0.0429;18;0;170;227;cockroach, roach;0.0257;0;0;227;227;drumstick;0.0208;2;0;224;227;cellular telephone, cellular phone, cellphone, cell, mobile phone;0.0199;0;0;227;227
1;0.6000;sidewinder, horned rattlesnake, Crotalus cerastes;0.3761;16;59;200;162;water snake;0.1590;5;0;222;216;ringneck snake, ring-necked snake, ring snake;0.1340;5;0;222;225;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0991;3;0;224;227;thunder snake, worm snake, Carphophis amoenus;0.0605;5;0;222;195
1;0.6000;screw;0.1052;8;56;208;141;radiator;0.0460;57;75;2;2;milk can;0.0411;33;39;4;2;binoculars, field glasses, opera glasses;0.0347;2;1;225;226;assault rifle, assault gun;0.0268;0;0;227;227
1;0.6000;tennis ball;0.1926;0;0;227;227;pick, plectrum, plectron;0.1065;0;0;227;227;rubber eraser, rubber, pencil eraser;0.1028;0;0;208;140;lipstick, lip rouge;0.0589;0;0;227;227;face powder;0.0583;0;0;227;227
